Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),PowerConsumption,DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s)
ResidualBlock-in_32x56x56-out_32-k_3-e_3-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.68,0.695,1.142,0.045,15.398,0.868,1373.346
ResidualBlock-in_24x112x112-out_32-k_7-e_3-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.538,1.552,1.705,0.081,11.877,0.846,570.819
ResidualBlock-in_48x28x28-out_96-k_3-e_6-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.138,1.151,1.576,0.034,6.844,1.612,1477.499
ResidualBlock-in_32x56x56-out_32-k_3-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.221,1.232,1.45,0.089,16.588,1.453,1241.867
ResidualBlock-in_48x28x28-out_48-k_7-e_3-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.828,0.838,0.982,0.033,9.278,0.139,178.739
ResidualBlock-in_96x14x14-out_136-k_3-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.075,1.082,1.308,0.056,11.769,0.337,328.199
ResidualBlock-in_32x56x56-out_48-k_3-e_4-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.379,0.387,0.621,0.038,24.93,0.153,462.891
ResidualBlock-in_48x28x28-out_96-k_3-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.465,0.473,0.614,0.023,11.933,0.369,885.627
ResidualBlock-in_32x56x56-out_48-k_7-e_3-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.628,0.634,0.779,0.034,12.993,0.157,272.678
ResidualBlock-in_96x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.547,0.551,0.649,0.03,12.934,0.155,312.495
ResidualBlock-in_32x56x56-out_32-k_5-e_3-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.185,1.196,1.351,0.054,10.437,0.87,767.57
ResidualBlock-in_136x14x14-out_136-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,2.389,2.401,3.338,0.105,9.714,0.654,279.55
